"file_name","core_name","rdata_file_name","CLASSIFICATION","YEAR","Key","Type","Value"
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Distance","3rd Qu.",45.69
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Distance","Max.",4391.04
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Distance","Mean",55.95
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Distance","Median",25.4
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Distance","Min.",0.08
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Distance","NA's",786
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Duration","1st Qu.",11.67
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Duration","3rd Qu.",45.91
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Duration","Max.",2917.73
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Duration","Mean",46.98
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Duration","Median",25.83
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Duration","Min.",0.25
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Duration","NA's",786
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","GENDER","F",48675
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","GENDER","M",44740
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","NPI_n","Count",132
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","RACE","Black",4404
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","RACE","Not Provided",15732
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","RACE","Other",1474
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","RACE","White",71805
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","row_n","Count",245853
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","zip_add_combination_n","Count",2536
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","ZIP_n","Count",742
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","address_n","Count",149
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","00 - 04",12638
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","05 - 09",7458
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","10 - 14",6844
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","15 - 19",5081
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","20 - 24",1861
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","25 - 29",2383
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","30 - 34",3566
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","35 - 39",4184
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","40 - 44",5118
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","45 - 49",5427
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","50 - 54",6649
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","55 - 59",8533
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","AGE_RANGE_DFS","60 - 64",7688
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","BEN_ID_n","Count",24251
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","CLAIM_GUID_n","Count",77421
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Distance","1st Qu.",9.54
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Distance","3rd Qu.",45.04
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Distance","Max.",4391.04
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Distance","Mean",54.28
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Distance","Median",24.97
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Distance","Min.",0.08
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Distance","NA's",805
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Duration","1st Qu.",11.48
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Duration","3rd Qu.",45.28
